hour,failed_logins,requests_per_minute,files_downloaded,is_suspicious
8,0,18,4,0
9,0,22,6,0
9,1,25,7,0
10,0,20,5,0
10,1,27,8,0
11,0,24,6,0
11,1,30,9,0
12,0,28,7,0
13,0,32,8,0
13,1,35,10,0
14,0,30,7,0
14,1,38,11,0
15,0,26,6,0
15,1,34,9,0
16,0,31,8,0
16,1,40,12,0
17,1,35,10,0
18,0,29,7,0
18,2,42,13,0
19,1,37,11,0
20,0,25,6,0
21,0,22,5,0
22,1,28,7,0
23,1,30,8,0
3,12,450,600,1
2,18,700,1200,1
4,10,500,800,1
1,22,850,1600,1
3,15,650,1000,1
23,10,400,500,1
2,8,300,450,1
4,20,900,1800,1
3,14,550,700,1
1,25,1000,2000,1
